video,numFrame,seconds,fps,rfps,subset,featureFrame
V58OpCHaGNU,140,10,14,14,null,140
GgwSOngIqsE,300,10,30,30,training,300
0GPM_6S5New,300,10,30,30,training,300
k20VW4o1tO8,240,10,24,24,validation,240
H-pTe9F8g14,300,10,30,30,training,300
EACywMMCeFc,1000,40,25,25,null,1000
wGeD-ijZHPM,986,34,29,29,training,986
MUABlh_t9YI,464,16,29,29,validation,464
CudN3V1DBMs,1131,39,29,29,null,1131
fFqk6awst8U,250,10,25,25,null,250
SNW_YjIzC_c,100,10,10,10,training,100
I-bqJSYTm7g,300,10,30,30,training,300
KMs-T8JiJ9U,300,10,30,30,training,300
ycIZiKSDnBc,300,10,30,30,validation,300
uvypOvwo6tE,100,10,10,10,training,100
LQdMfdmkahc,100,10,10,10,null,100
DfzEEMWP9rU,300,10,30,30,null,300
zbWo2PMiLTg,280,10,28,28,training,280
2ET7xwbSgUg,300,10,30,30,training,300
7U_TZaA0UE4,406,14,29,29,validation,406
vJXjGLiaHsQ,275,11,25,25,training,275
x-qecN_E_qQ,300,10,30,30,validation,300
zAQITq_YdH0,290,10,29,29,training,290
O3y7A3l4GzA,240,10,24,24,training,240
Xfw0aSQJw_s,1624,56,29,29,training,1624
fH7fQq339hc,319,11,29,29,validation,319
6ZbWNocZVKY,300,10,30,30,training,300
3OLr3ar-igw,493,17,29,29,training,493
i8BDV1GTyqA,456,19,24,24,training,456
Y-BrCELyh14,240,10,24,24,training,240
II07pw-iMNE,250,10,25,25,training,250
nbTe1NQUQ2A,330,11,30,30,training,330
3BK9cPolql8,464,16,29,29,training,464
IfmPmHEAxc4,209,11,19,19,training,209
R1bqbBNUofo,200,10,20,20,training,200
FwjVcxrLUXE,290,10,29,29,training,290
n_mXJxwr4nY,3840,128,30,30,validation,3840
B2Nvss6-Fvg,270,9,30,30,training,270
TNtLWlkCK98,4800,192,25,25,training,4800
gTd9zKFWHLY,1740,60,29,29,training,1740
DFe8t-wWH50,540,18,30,30,validation,540
7lup9EkNClY,725,25,29,29,training,725
EA17FV1XeJw,300,10,30,30,validation,300
FAgDMtr8wIo,1508,52,29,29,training,1508
KKpH3Sphk4M,570,19,30,30,training,570
yn6RY7cBNOs,240,10,24,24,null,240
xI2xCPo1c0k,300,10,30,30,training,300
jknAVnCELOk,300,10,30,30,training,300
hqxWzBgom88,1073,37,29,29,validation,1073
qZU_5GHwx1U,300,10,30,30,training,300
UGiyPMmtMBw,300,10,30,30,training,300
_DL1q-XQc7E,330,11,30,30,training,330
FSuNQE36u9c,783,27,29,29,training,783
Ey2syxlV50I,390,13,30,30,validation,390
_h_Yu4exmDo,600,20,30,30,training,600
eZM7ZxVQDnI,240,10,24,24,training,240
I2rptpuQIxY,300,10,30,30,validation,300
HOpxVQg85XA,290,10,29,29,training,290
ZE9o84Q-GTY,250,10,25,25,validation,250
l1WA5kvhqLA,300,10,30,30,validation,300
GbosJV9yp44,290,10,29,29,training,290
vcw-vQVyZsM,300,10,30,30,validation,300
hF5QCnQG08o,300,10,30,30,training,300
HCkucujdBjc,300,10,30,30,training,300
Ya2kn-A5AEw,319,11,29,29,training,319
QpRMxyQsMvI,290,10,29,29,training,290
Bue-3GRHjvg,290,10,29,29,training,290
WscM7fCZR4A,300,10,30,30,training,300
I8AlvZT7rvo,290,10,29,29,training,290
YsubBUslV10,300,10,30,30,training,300
dQgNze6PYJw,1110,37,30,30,training,1110
mMBJJicVgZg,330,11,30,30,training,330
#NAME?,290,10,29,29,training,290
IxktOWvTeh4,300,10,30,30,training,300
kRgaUA6dywM,290,10,29,29,training,290
eSrpNwZUeQY,2310,77,30,30,training,2310
lofaNlFeXAM,2668,92,29,29,validation,2668
Su105JQwCQE,140,7,20,20,training,140
TCld95KNQBI,290,10,29,29,training,290
l7vk4E7yXKQ,250,10,25,25,validation,250
VpRYqf9hEKM,288,12,24,24,validation,288
oPTxX3ofaT4,4470,149,30,30,validation,4470
2yhnCA6qaJc,300,10,30,30,training,300
HQtWbLHCRG0,290,10,29,29,training,290
KByQeB_HkRY,300,10,30,30,training,300
3IjfM_MlMig,300,10,30,30,training,300
HfgPYYgUfNA,290,10,29,29,training,290
nk2U8OkISPw,400,16,25,25,training,400
7YPL20RgKxQ,450,18,25,25,null,450
fQN7-j_pSDE,300,10,30,30,validation,300
SC6KctD5Wd4,300,10,30,30,training,300
x94l9ldCPqs,300,10,30,30,training,300
cwcT-d1QX-k,377,13,29,29,validation,377
Xf2cXVtJTD4,720,24,30,30,training,720
O0P_kkhKacs,667,23,29,29,null,667
KaW2shcqycA,3625,125,29,29,null,3625
dU1dorAeHXo,540,18,30,30,training,540
DTF15pzLtfE,250,10,25,25,training,250
V0z688T1vuo,4320,144,30,30,validation,4320
iLWTZQ_bXwY,290,10,29,29,training,290
rct-PI-KpSA,230,10,23,23,training,230
0rB4VgyZvdk,300,10,30,30,validation,300
hkhc-yd7Dmc,1392,48,29,29,training,1392
v8sqR8C81ak,1500,50,30,30,validation,1500
w24kxs83rB0,780,26,30,30,training,780
i1DJgjh2FKM,290,10,29,29,training,290
niGug3nYBH4,290,10,29,29,training,290
jVn4647lEX0,300,10,30,30,training,300
RPQuCn56Y6I,300,10,30,30,null,300
saEtHHLBSxM,290,10,29,29,training,290
Y0pWiEpvRv0,290,10,29,29,training,290
Cye_WmDqTIQ,1015,35,29,29,training,1015
DiiIMQLjipU,300,10,30,30,null,300
wENnDNHfYTs,300,10,30,30,validation,300
eCOcUYGnl38,300,10,30,30,null,300
mBQ3cv3Dde0,90,10,9,9,training,90
t16bY1Aft0g,450,15,30,30,training,450
S5VXFNThH1A,275,11,25,25,training,275
E7mNrEqzMhg,300,10,30,30,training,300
u224Twe1LFs,250,10,25,25,null,250
XhgpFhFKrWw,290,10,29,29,validation,290
zFJ8PZZJBHY,300,10,30,30,training,300
KelF_RGE5Ks,180,10,18,18,training,180
wvppZIq6OOs,290,10,29,29,validation,290
nsZTvjGB120,290,10,29,29,training,290
CXH-Wg1RTCE,300,10,30,30,training,300
LTa6bFlUZNk,300,10,30,30,validation,300
WMAJpLIeN48,290,10,29,29,training,290
8GgQ2l7q3vA,3335,115,29,29,training,3335
gABsvFR9gBc,575,23,25,25,validation,575
ydYzYp8oA74,391,17,23,23,null,391
LLsuh0Z-czA,5370,179,30,30,training,5370
#NAME?,300,10,30,30,training,300
mHJ5Cg7AZFE,165,11,15,15,null,165
KK4wIM1pMc4,348,12,29,29,training,348
X34yhILzwLA,330,11,30,30,training,330
vh6179NeAAQ,290,10,29,29,training,290
Uf6iOvzb_IU,290,10,29,29,validation,290
ndXAbw9NTgg,300,10,30,30,training,300
1T6Nph_ZsG8,290,10,29,29,validation,290
XPnxJevjD7Y,240,10,24,24,training,240
8JbW_YyVB-A,300,10,30,30,training,300
5n50SvNbzqw,264,11,24,24,training,264
df9quOvOnGs,290,10,29,29,validation,290
3qfy84M5I68,250,10,25,25,training,250
J_Cg2SBDWPM,319,11,29,29,training,319
hawcLRkWltE,224,28,8,8,validation,224
TEjp7kYD-sc,330,11,30,30,training,330
Y8237eE-6cM,330,11,30,30,training,330
_r2BGb6annY,330,11,30,30,training,330
Gc3Aje1aBX0,3596,124,29,29,training,3596
UNf_30kiADs,3016,104,29,29,training,3016
tSXwIhNKuyE,2850,114,25,25,training,2850
wbQVKFzo8xw,1010,101,10,10,training,1010
OfvlFou9vyE,4325,173,25,25,training,4325
0ggJ627z4jU,2925,117,25,25,training,2925
aCc78OlCde8,3000,100,30,30,training,3000
o5P0afA4dKI,3000,100,30,30,training,3000
7O7pYs0Q6Vg,2500,100,25,25,training,2500
URw32kH4wpY,3060,102,30,30,training,3060
1ddrug5cEoA,3375,135,25,25,validation,3375
pEPkgqLiw5M,3074,106,29,29,training,3074
ItAyHCSK5ds,3364,116,29,29,validation,3364
6O20FF06BUY,2900,100,29,29,training,2900
6LVojBJLKqs,2900,100,29,29,validation,2900
stYxF7w_xyA,3090,103,30,30,validation,3090
28-qrodY5X8,2900,100,29,29,training,2900
AZw8DHGKqBU,3132,108,29,29,null,3132
1hkX6E9-yhY,2900,100,29,29,training,2900
artbiBSOVN8,2900,100,29,29,training,2900
tQHO35sH81I,6660,222,30,30,training,6660
ijHn9BTe40o,2525,101,25,25,validation,2525
MrX3jo47uqY,6960,232,30,30,training,6960
vQ3Zpesb13Y,3000,100,30,30,null,3000
WMKKcU-iNXk,2575,103,25,25,training,2575
8kPjYSEYUhA,2500,100,25,25,training,2500
jqdDXoH7AXg,10170,339,30,30,training,10170
wXtxZcryDdo,2958,102,29,29,training,2958
n12EjqVWMkc,2525,101,25,25,training,2525
LCp3l462YMY,2929,101,29,29,training,2929
z5rNP5Yo4uc,2525,101,25,25,training,2525
heUm-SnCGL8,3090,103,30,30,training,3090
unm99_HjbpE,3016,104,29,29,training,3016
gR1Ia9o8sOE,3538,122,29,29,training,3538
SO5fNwB7moA,2369,103,23,23,training,2369
gqhieDBIlMU,2472,103,24,24,training,2472
6gPD38IrUXk,3030,101,30,30,training,3030
a2pA0CVGhkg,2921,127,23,23,training,2921
nOCsgqMWess,3030,101,30,30,training,3030
4aG1uw5_ejQ,2929,101,29,29,training,2929
0x4JGJazIGU,3240,108,30,30,null,3240
d1vt2-ngOyI,3103,107,29,29,training,3103
u-rqAQlHXCg,3030,101,30,30,training,3030
x74k18mvdS0,3060,102,30,30,null,3060
_riP6hNX5co,1717,101,17,17,training,1717
yc8ZiyweAF0,4750,190,25,25,training,4750
BskGGgPtgQk,3600,120,30,30,training,3600
ApJ3fliOtyI,3090,103,30,30,training,3090
Zf_cT9Vpsg0,3161,109,29,29,training,3161
_HaFv9F4kiM,3596,124,29,29,training,3596
oPB8g5xDSEA,1515,101,15,15,validation,1515
AXxKLk97CqM,1224,102,12,12,training,1224
l6ZHfj1wI3w,2958,102,29,29,training,2958
epx6LVygpbI,3388,121,28,28,training,3388
56e07rAG718,3180,106,30,30,validation,3180
04ikWhqzIOc,2958,102,29,29,null,2958
eGLI6xQ-Yf4,3770,130,29,29,training,3770
av4yh4PiHw8,1515,101,15,15,validation,1515
3V6L2RBCtRE,2600,104,25,25,training,2600
JYKPdKGVcBo,2987,103,29,29,training,2987
KGNLJB8Zg2E,2958,102,29,29,training,2958
g6dKlOpGkF0,2958,102,29,29,training,2958
PMsRCvxIy0M,3219,111,29,29,training,3219
GvpNQPhFGNE,2987,103,29,29,training,2987
mmlJjkAjNKQ,2958,102,29,29,training,2958
f1SqhPelhB4,3090,103,30,30,null,3090
kMyp91i7zSI,2987,103,29,29,training,2987
lQv-Q2r7c-o,3277,113,29,29,validation,3277
UhgSIqmyqfo,5750,230,25,25,training,5750
muRPquCjh7A,2650,106,25,25,training,2650
BGCdJ2y9olU,2472,103,24,24,validation,2472
2VN_vMpqWaM,3210,107,30,30,training,3210
u6ARPlpAvVY,3090,103,30,30,training,3090
nfvzmZQd7OM,3045,105,29,29,training,3045
eoNvdfVmL8U,3120,104,30,30,training,3120
rBt_cWcFsqw,2987,103,29,29,training,2987
_5VqtrtrS_c,3690,123,30,30,training,3690
ekMgIoh3RuA,3248,112,29,29,training,3248
Esk28pvT-B0,2875,115,25,25,training,2875
mplQlaV2cJ4,2575,103,25,25,validation,2575
f1aHY1BKEV4,3306,114,29,29,training,3306
#NAME?,3120,104,30,30,training,3120
#NAME?,2600,104,25,25,training,2600
Fx70-uvwyNw,3150,105,30,30,training,3150
MixC56kZYh0,3120,104,30,30,training,3120
CUWcDjbCY90,2850,114,25,25,validation,2850
nJqT8CHnP_w,2808,104,27,27,training,2808
f_KPmxBcb1c,3270,109,30,30,training,3270
vUeqe6-puaU,2625,105,25,25,training,2625
3kYHKMr4_WM,3120,104,30,30,training,3120
pOOmWDFCmhg,3016,104,29,29,validation,3016
iz_kQyPKWBo,3180,106,30,30,training,3180
Qvd13NhAUgI,3120,104,30,30,training,3120
DTfsqkYt-Xg,2392,104,23,23,training,2392
_EvAN7DyBrI,3150,105,30,30,training,3150
ZRlUs4vApgk,3045,105,29,29,validation,3045
FxPZyYRCRsw,3045,105,29,29,validation,3045
qJV0O4lOhRU,3799,131,29,29,training,3799
HNbqvqf3-14,2800,112,25,25,training,2800
IIxSJh5ckLs,3150,105,30,30,training,3150
42LAebGLUls,3150,105,30,30,training,3150
UPpRTOFkLGE,3045,105,29,29,training,3045
rT6Xq1Dyr1c,3240,108,30,30,training,3240
SB1eANSjHnc,3180,106,30,30,training,3180
4_5bus3LYZQ,3240,108,30,30,training,3240
YyYrf-0wj9Q,2625,105,25,25,null,2625
cFzr39-9uCw,4785,165,29,29,validation,4785
HjIanyYUOCY,2415,105,23,23,training,2415
30q-x1QemRI,3306,114,29,29,training,3306
DA556NOKnGI,4850,194,25,25,validation,4850
eKcLLKHozVg,3045,105,29,29,training,3045
kewNRsI6508,3600,120,30,30,training,3600
EYJU_1ppGzo,3074,106,29,29,training,3074
Rv6Y0nslXtk,3180,106,30,30,null,3180
mCS6llq_7s0,3074,106,29,29,training,3074
pvg2MImyjoE,2650,106,25,25,validation,2650
H4E77jkWpeo,3180,106,30,30,training,3180
oCj7bO-iSyg,2544,106,24,24,null,2544
sr1lq42SJ6w,3886,134,29,29,validation,3886
Aw50yOJd_T4,8575,343,25,25,training,8575
4dqO0sVpeKY,3074,106,29,29,validation,3074
zJ-7tihTKwU,6450,215,30,30,training,6450
1kZW8e79Bm0,7830,270,29,29,training,7830
ztMS-yt-HJ8,2650,106,25,25,training,2650
h2UJElT9wzg,3074,106,29,29,training,3074
QIlonTnzOj0,3074,106,29,29,training,3074
g55uKQwW-H4,2650,106,25,25,training,2650
WJZrxNxbpXA,2438,106,23,23,training,2438
_vbuqg6Icys,3180,106,30,30,training,3180
GKno3jcvHY8,3074,106,29,29,training,3074
kSfXbmtEtTw,3480,116,30,30,training,3480
jX_qsfxg-jg,3103,107,29,29,training,3103
_kDJxweDfIw,2675,107,25,25,training,2675
wLuuiRIvm6M,6450,215,30,30,training,6450
NXnq7TdHKmw,3103,107,29,29,training,3103
qSEeteS6Fbc,3210,107,30,30,training,3210
z6P6Bd9nvFM,3161,109,29,29,training,3161
jANhRfG2s-M,3103,107,29,29,null,3103
jPOwdd6oZjE,3103,107,29,29,validation,3103
Z2OfidnJ3xk,2675,107,25,25,training,2675
VG22YcH2G90,3103,107,29,29,training,3103
BTal5TM9ljA,3103,107,29,29,training,3103
XoUkGaAUWc0,3103,107,29,29,training,3103
synZMobKkNc,3103,107,29,29,training,3103
Up9CYBHuLLI,3210,107,30,30,training,3210
yuTRO0d_vZ0,3712,128,29,29,validation,3712
xrHW3iZ_MDw,3103,107,29,29,validation,3103
maAIEq7yxP8,2800,112,25,25,training,2800
HVHvqGNPakM,4020,134,30,30,training,4020
wgQX3Fs7yGE,2675,107,25,25,training,2675
guLKsc4Q7y4,2675,107,25,25,training,2675
r4_8IgWCRRg,3240,108,30,30,training,3240
Zcu_stWtQFk,6900,230,30,30,training,6900
vxOo1smr7T8,2507,109,23,23,null,2507
WwWz52baSV4,3132,108,29,29,training,3132
TLA-aeWn5U0,4263,147,29,29,training,4263
RiePh0pusLs,3103,107,29,29,validation,3103
VDoTPMvqIxM,3132,108,29,29,training,3132
CRIisZyom8w,2784,116,24,24,validation,2784
o1n50V_9VXs,3240,108,30,30,training,3240
Smar6GnN0ew,3132,108,29,29,training,3132
6v1UclNnkKM,3132,108,29,29,training,3132
G9teqZd7ZA4,3277,113,29,29,training,3277
X4y3mVM8b3Q,3600,120,30,30,training,3600
iRJ7vOdK0m8,3240,108,30,30,training,3240
g2IVvjOpUdE,3132,108,29,29,training,3132
qRB41nNSmQc,3799,131,29,29,training,3799
i7_l_FdIuLs,3132,108,29,29,training,3132
gscJthqttZM,2576,112,23,23,training,2576
DQ5qBjjaWN8,11940,398,30,30,training,11940
_9DIAL5NreM,2700,108,25,25,training,2700
pOC1EzOpHFc,3240,108,30,30,null,3240
0xotJJGryyc,3132,108,29,29,validation,3132
ZsSOf13lLX8,3132,108,29,29,training,3132
jOwnYifi2HY,3025,121,25,25,validation,3025
n49M3Qti3Ss,3451,119,29,29,training,3451
hwYcpsbjkZ8,3132,108,29,29,training,3132
nYh0Xuf7naw,3330,111,30,30,training,3330
gk7shHKoQPY,2616,109,24,24,validation,2616
POOICOt5jY4,3750,125,30,30,null,3750
EaYXTAUTDws,3248,112,29,29,null,3248
DLTr-ZGBHmY,2725,109,25,25,training,2725
kGIH7zcncxU,3161,109,29,29,training,3161
J6gtcNCuJxU,3161,109,29,29,validation,3161
E12ZGLzciEY,3270,109,30,30,training,3270
01u_ilr2XqM,3161,109,29,29,training,3161
AFWegh9WQDI,2725,109,25,25,training,2725
XvtiqXrARZ8,3330,111,30,30,training,3330
L6pq3HHmHsE,3330,111,30,30,training,3330
Ok048mpdRrI,5670,189,30,30,validation,5670
kKTqq2_fgns,3270,109,30,30,training,3270
JgXs55IcmTU,3270,109,30,30,training,3270
YXw7bh6iJhM,2737,119,23,23,null,2737
XqnEis_eZ8Q,330,11,30,30,training,330
i5n0R0c_5iw,330,11,30,30,training,330
EKipfpifEis,330,11,30,30,training,330
efGP08-6NEE,2262,78,29,29,validation,2262
ATRWAyowWdE,253,11,23,23,validation,253
40PUUGXwK3k,300,10,30,30,training,300
XqosM-Ty-pc,300,10,30,30,training,300
Tm3oj3bLH90,493,17,29,29,training,493
oLaqR3v-nmo,754,26,29,29,training,754
#NAME?,377,13,29,29,validation,377
sqRAyiLsWO4,319,11,29,29,validation,319
M0n8zbtQO8k,330,11,30,30,training,330
yFxS7AfCGyw,319,11,29,29,training,319
8KD5xkip5lU,330,11,30,30,training,330
vKl54kR1_RY,348,12,29,29,training,348
hlw30DSzDpA,406,14,29,29,training,406
WaQihwNQC-I,2552,88,29,29,training,2552
PjLHXjyNK_c,319,11,29,29,training,319
qCcgafSRFZM,330,11,30,30,training,330
CkhrKz1gbjQ,9270,309,30,30,validation,9270
0ESiKUD9Ve4,330,11,30,30,null,330
eBzLIOuDXpk,319,11,29,29,validation,319
B9FAQgIw4Jk,319,11,29,29,training,319
ADZ5mJaCfPY,570,19,30,30,training,570
qH2taNIcjUY,330,11,30,30,training,330
Rmay34xFxaQ,330,11,30,30,training,330
Ew08QqpuNKg,330,11,30,30,training,330
kZuvpZlaNtQ,1800,72,25,25,training,1800
k7ogBQXhxfw,275,11,25,25,training,275
F3JTckwUk8U,319,11,29,29,training,319
Sch62hGv0cA,300,12,25,25,training,300
qW5CMG6u7o4,330,11,30,30,training,330
5Q8HYTSd5TI,667,23,29,29,training,667
iZCyWBOZuJU,319,11,29,29,training,319
z3uejqw5gwI,330,11,30,30,validation,330
49IMC64N4-k,319,11,29,29,training,319
Idfetw9Db8U,348,12,29,29,training,348
jl0pMqvT9WM,1421,49,29,29,training,1421
ImJJ4WPD_NE,1590,53,30,30,training,1590
QiYhpub4paY,390,13,30,30,training,390
3ekx9crPz04,330,11,30,30,training,330
sThFNb0pR14,275,11,25,25,training,275
GSC4Gy2TThY,360,12,30,30,validation,360
MWlPR79iKXo,600,20,30,30,training,600
9UUYpUU6IUY,377,13,29,29,validation,377
CvqipS2k1I4,132,11,12,12,training,132
hL-swPeLEzc,319,11,29,29,validation,319
rlTfIDzuYOU,330,11,30,30,training,330
1XOJjPxjhGY,300,10,30,30,training,300
TSdEQ2oR4g8,330,11,30,30,training,330
dKwfke9YH_k,319,11,29,29,training,319
QSgkMlwledU,240,10,24,24,training,240
6t0WvWR9KbQ,154,11,14,14,null,154
_6PVn6G5ym4,330,11,30,30,validation,330
xov2-nEag7E,1470,49,30,30,null,1470
3IzJYov4vqg,960,32,30,30,training,960
0tvXq9Th04I,319,11,29,29,training,319
FuCX6RicDNg,319,11,29,29,validation,319
o4q-HAEc2f0,330,11,30,30,training,330
Qf6m13LsFo0,319,11,29,29,training,319
xqyRN0KGy9c,330,11,30,30,validation,330
eSKn6oRbUxI,480,16,30,30,validation,480
FZw0aVaf-ak,275,11,25,25,training,275
uccLw_ALGyg,275,11,25,25,training,275
R4RDBU6rzv4,900,30,30,30,training,900
ltooeELe94Q,330,11,30,30,training,330
92SkPF9aoN4,275,11,25,25,training,275
a6-4exE7kbI,330,11,30,30,null,330
MhdGM1v0v10,319,11,29,29,training,319
numa8iCNH60,540,18,30,30,null,540
VTph8N4WJCQ,275,11,25,25,training,275
eO3KH-AxfNQ,330,11,30,30,validation,330
BUztvEAslHE,330,11,30,30,training,330
ZaKdWqbz9vc,290,10,29,29,training,290
mWZkBKm9x3Y,330,11,30,30,training,330
_WfNsaUfaLg,264,11,24,24,training,264
DmzsxKwxTI0,450,15,30,30,validation,450
9lX0BucJsmY,360,12,30,30,validation,360
x83PrsPPLfM,319,11,29,29,training,319
QNg7uVGemYg,330,11,30,30,training,330
v85CNJ5w_0g,330,11,30,30,training,330
AO5nh8jdvu8,325,13,25,25,training,325
JCTY5eMM8mk,319,11,29,29,training,319
1IBbZBmMAlY,319,11,29,29,training,319
HvWsg2InUq4,319,11,29,29,training,319
2oIZfoQ-hQI,450,15,30,30,training,450
muzzIcibGMo,957,33,29,29,training,957
RHf4-6wXLC4,1770,59,30,30,training,1770
uwlIXSN4FpA,420,14,30,30,training,420
H1kBuWZAQ7U,319,11,29,29,training,319
RQhLPu4sU0E,330,11,30,30,training,330
Ev-3WiTC_34,253,11,23,23,training,253
Ard1_0Zh2Eo,330,11,30,30,training,330
IJAuj-t5fes,319,11,29,29,validation,319
4WoEZV2I-oc,510,17,30,30,training,510
WqGPhf_nv0E,1800,60,30,30,training,1800
B2Hvp45rbEE,319,11,29,29,training,319
OCDwny-R3JE,330,11,30,30,training,330
DkJoMc4vOAQ,480,16,30,30,training,480
CNXe2gdaNDs,6000,200,30,30,null,6000
ll8BznaO9WM,2160,72,30,30,training,2160
dwX5ksMZcTs,275,11,25,25,training,275
R-J6EVEBG6I,319,11,29,29,training,319
kxrzWH7Ps-w,570,19,30,30,null,570
vXQ-qij128g,330,11,30,30,training,330
hqWlmgVVOLg,319,11,29,29,training,319
L7r87Jn3gI8,330,11,30,30,validation,330
FUBkYbAribo,406,14,29,29,validation,406
mJ7Zm-Bqk4I,1260,42,30,30,training,1260
umEeg2dQjB4,330,11,30,30,training,330
DO4s54yrkUc,319,11,29,29,validation,319
C2LpXq7Mwzk,319,11,29,29,validation,319
pILCXY78qQA,275,11,25,25,training,275
4MJu_HT5MeU,1392,48,29,29,training,1392
BZw20zVAGbg,300,12,25,25,null,300
Qsbm3HT6zP0,275,11,25,25,training,275
pDIuIha5UOU,330,11,30,30,training,330
DKBc42vUP_M,406,14,29,29,training,406
8EOahoooSho,319,11,29,29,validation,319
hr-EBkvufUo,319,11,29,29,training,319
FIJX6w1ONQw,319,11,29,29,training,319
D8TR9kczpwQ,330,11,30,30,training,330
VircdauePLM,330,11,30,30,training,330
gOVx49MKZN8,330,11,30,30,null,330
vU9kDfqMhJw,330,11,30,30,training,330
QkXOyp8DON8,600,20,30,30,training,600
UcAMcsoJ4ic,720,24,30,30,training,720
uXTawtZ7q1I,330,11,30,30,training,330
bQUfKXRHBH4,330,11,30,30,training,330
MNH5jYoF9Qc,580,20,29,29,training,580
9jzuSq1v0tc,330,11,30,30,training,330
oJpu6PYulF8,420,14,30,30,training,420
4mljF-6Qi6A,253,11,23,23,training,253
9j_VK2VMyjg,330,11,30,30,validation,330
QohIgqhTrGk,330,11,30,30,training,330
#NAME?,330,11,30,30,training,330
Jw6UAC2DaRw,319,11,29,29,training,319
txD362mB7r8,570,19,30,30,training,570
eltgK5qikLE,192,16,12,12,validation,192
ajIR7sStecA,330,11,30,30,training,330
zC00TiqM_VA,165,11,15,15,training,165
lyupuTkVmL8,275,11,25,25,training,275
aTMCHp7hN9w,275,11,25,25,training,275
_kMuYOdmFzE,330,11,30,30,validation,330
gAQE2l3h-H8,312,13,24,24,training,312
G9NQTCbdGCc,330,11,30,30,training,330
wnD02LgFMbk,319,11,29,29,training,319
P1-CoTXHhXM,870,29,30,30,training,870
r4pnQ3zBU9M,360,12,30,30,validation,360
GrBlfkLtfxY,319,11,29,29,training,319
Ov7t37kQpS4,1044,36,29,29,training,1044
fQLVzsHua7o,841,29,29,29,training,841
Lbl5prjKKPI,330,11,30,30,validation,330
DyCLasiOhqs,275,11,25,25,validation,275
vrpGkpPbzTs,1740,58,30,30,training,1740
